,inputType,sentences,target,trans_input
7811,3,  phone tool tip tphone  missing form group tphone  missing for tphone  missing for tphone,19,phone tool tip form group for for
7812,3,  ext text  missing form group text  missing error text  missing sr only error text,10,text form group text error text sr only error text
7813,3,  mobile u s only tmobile  missing form group tmobile  missing   missing sr only error tmobile,19,mobile u s only form group sr only error
7817,1,  street address taddress  missing form group taddress  missing for taddress  missing for taddress,2,street address form group for for
7818,1,  apt suite other tapt  missing form group tapt  missing sr only error tapt  missing sr only error tapt,2,suite other form group sr only error sr only error
7819,1,  city tcity  missing form group tcity  missing   missing for tcity,0,city form group for
7820,1,  zip code tzip  missing form group tzip  missing sr only error tzip  missing for tzip,5,zip code form group sr only error for
7821,209,  your work email address email  missing signup form  missing   missing sign container,15,your work email address email form sign
7822,1,  create a user id uid  missing   missing ,15,create a user id
7823,225,  missing password  missing   missing ,18,password
7824,225,  missing retypepassword  missing   missing ,18,missing
7826,1,  first name firstname  missing   missing   initial ,17,first name initial
7827,1,  initial   missing   missing   missing ,17,initial
7828,1,  last name lastname  missing   missing ,17,last name
7829,1,  company company  missing   missing ,9,company company
7830,1,  address address  missing   missing ,2,address address
7831,1,  address   missing   missing ,2,address
7832,1,  city city  missing   missing notau,0,city city
7833,1,  email email  missing   missing ,15,email email
7834,1,  re enter e mail retypeemail  missing   missing ,15,re enter e mail
7835,1,  zip postal zip  missing   missing   missing ,5,zip postal zip
7836,1,  phone phone  missing   missing   missing ,19,phone phone
7838,1,  pratham nam   missing   missing ,17,missing
7839,1,  antim nam   missing   missing ,17,missing
7840,1,  phon nambar yaa e mail   missing   missing ,19,e mail
7841,225,  password   missing   missing ,18,password
7842,209,  email shipping email  missing shipping email group  missing ,15,email shipping email shipping email group
7843,1,  first name shipping first name  missing shipping first name group  missing ,17,first name shipping first name shipping first name group
7844,1,  last name shipping last name  missing shipping last name group  missing ,17,last name shipping last name shipping last name group
7845,1,  address shipping address line  missing shipping address line group  missing ,2,address shipping address line shipping address line group
7846,1,  address optional shipping address line  missing shipping address line group  missing ,2,address optional shipping address line shipping address line group
7847,1,  postal code shipping postal code  missing shipping postal code group  missing ,5,postal code shipping postal code shipping postal code group
7848,1,  city shipping city  missing shipping city group  missing ,0,city shipping city shipping city group
7849,1,  region optional region optional shipping region  missing shipping region group  missing   missing ,3,region optional region optional shipping region shipping region group
7850,3,  phone shipping tel  missing shipping primary phone group  missing ,19,phone shipping tel shipping primary phone group
7851,1,  first name first name ca profile firstname  missing ca profile required inputs  missing ca profile form  last name last name ca profile lastname,17,first name first name ca profile ca profile required ca profile form last name last name ca profile
7852,1,  last name last name ca profile lastname  missing ca profile required inputs  missing   missing ,17,last name last name ca profile ca profile required
7853,225,  password password ca profile password  missing ca profile required inputs  last name last name ca profile lastname  missing ca profile form,18,password password ca profile password ca profile required last name last name ca profile ca profile form
7854,209,  email address email ca profile email  missing ca email  missing ca profile required inputs  missing ca email warning container,15,email address email ca profile email ca email ca profile required ca email warning
7855,1,  enter your username wpname  missing userlogin  enter your email address wpemail  enter password again wpretype,15,enter your username enter your email address enter password again
7856,225,  enter a password wppassword  missing userlogin  missing userloginform  missing mw createacct status area,18,enter a password status area
7857,225,  enter password again wpretype  missing userlogin  enter a password wppassword  missing userloginform,18,enter password again enter a password
7858,209,  enter your email address wpemail  missing userlogin  missing   missing userloginform,15,enter your email address
7860,209,  e mail email  missing   missing register  missing register,15,e mail email register register
7861,225,  password reg password  missing   missing   missing ,18,password reg password
7862,1,  institution organization organization  missing   missing   missing ,9,institution organization organization
7863,209,  missing email  missing   missing   missing ,15,email
7864,225,  missing password input field  missing   missing showpasswordcheck  missing ,18,password input field
7865,1,  missing zipcode  missing   missing   missing ,5,missing
7866,1,  missing phone  missing   missing   missing ,19,phone
7867,1,  first name addfirstname  missing   missing   missing ,17,first name
7868,1,  missing addlastname  missing   first name addfirstname  first name addfirstname,17,first name first name
7869,1,  phone number addaddressphonenumber  missing   missing   missing ,19,phone number
7870,1,  address address line addaddresscontent  missing   missing   missing ,2,address address line
7871,1,  apartment suite building etc addaddressoptionalcontent  missing   missing   missing ,2,apartment suite building etc
7872,1,  first name addfirstname  missing   missing   missing ,17,first name
7873,1,  missing addlastname  missing   missing   first name addfirstname,17,first name
7874,1,  phone number addaddressphonenumber  missing   missing   missing ,19,phone number
7875,1,  address address line addaddresscontent  missing   missing   missing ,2,address address line
7876,1,  apartment suite building etc addaddressoptionalcontent  missing   missing   missing ,2,apartment suite building etc
7877,1,  missing addaddresszipcode  missing   missing   missing ,5,missing
7878,1,  введите телефон   missing   missing   missing ,19,missing
7879,209,  email signupid  missing ctnsignupid  missing   missing ,15,email
7880,225,  password password  missing ctnpassword  missing   missing ,18,password password
7881,225,  confirm password confirmpassword  missing ctnconfirmpassword  missing   missing lblconfirmpassword,18,confirm password
7882,1,  first name givenname  missing ctngivenname  missing   missing ,17,first name
7883,1,  last name familyname  missing ctnfamilyname  missing lblfamilyname  missing ,17,last name
7884,3,  date of birth day you must meet the minimum age requirement day  missing ctnday  missing   missing ,13,date of birth day you must meet the minimum age requirement day
7885,3,  year you must meet the minimum age requirement year  missing ctnyear  missing   missing lblyear,13,year you must meet the minimum age requirement year
7886,209,  missing   missing   missing   missing ,15,missing
7887,1,  missing   missing   missing   missing ,17,missing
7888,1,  missing   missing   missing   missing ,17,missing
7889,1,  missing   missing   missing   missing ,2,missing
7890,1,  missing   missing   missing   missing ,2,missing
7891,1,  missing   missing   missing   missing ,3,missing
7892,3,  missing   missing   missing   missing ,5,missing
7893,1,  missing   missing   missing   missing ,0,missing
7894,1,  missing   missing   missing   missing ,4,missing
7895,3,  missing   missing   missing   missing ,19,missing
7896,3,  missing   missing   missing   missing ,19,missing
7897,1,  missing lastname  missing   missing msg lastname  missing ,17,missing
7898,1,  missing name  missing   missing   missing ,17,name
7899,3,  missing phone  missing   missing msg phone  missing msg phone,19,phone phone phone
7900,1,  missing email  missing   missing msg email  missing msg email,15,email email email
7901,1,  name name user first name  missing   missing   missing ,17,name name user first name
7902,209,  email email user email  missing   missing   missing ,15,email email user email
7903,225,  password password user password  missing   missing   name name user first name,18,password password user password name name user first name
7904,209,  contoh nama email com email  missing   missing   missing ,15,email com email
7905,225,  missing eye  missing   missing   missing pass,18,eye pass
7906,1,  astari first name  missing   missing   missing ,17,first name
7907,1,  kirana jelita last name  missing   missing   missing ,17,last name
7908,209,  email email  missing   missing   missing ,15,email email
7909,1,  first name first name  missing   missing   missing ,17,first name first name
7910,1,  last name last name  missing   missing   missing ,17,last name last name
7912,2,  dd day  missing   missing ,13,dd day
7913,2,  missing month  missing   missing ,13,month
7914,2,  missing year  missing   missing ,13,year
7915,1,  username username  missing   missing   missing ,15,username username
7916,2,  missing mobile  missing   missing   missing ,19,mobile
7917,225,  password password  missing   missing   missing ,18,password password
7918,209,  email address user email  missing new  username only letters numbers and underscores user username  missing ,15,email address user email new username only letters numbers and user username
7919,1,  username only letters numbers and underscores user username  missing new  email address user email  missing ,15,username only letters numbers and user username new email address user email
7920,225,  password min char user password  missing new  missing   missing ,18,password min char user password new
7921,1,  first name user first name  missing   missing new  missing new,17,first name user first name new new
7922,1,  last name user last name  missing   missing new  missing new,17,last name user last name new new
7923,209,  email address regform email  missing   missing   missing registerform,15,email address email
7924,225,  password regform password  missing   missing   missing ,18,password password
7925,1,  email   missing   missing ,15,email
7926,225,  password   missing   missing   missing ,18,password
7927,225,  ulangi password   missing   missing   missing ,18,password
7928,1,  почтовый ящик login  missing   missing   missing ,15,login
7929,225,  пароль newpassword  missing   missing   missing ,18,missing
7930,225,  повтор пароля повтор пароля confirmpassword  missing   missing   missing ,18,missing
7932,1,  контрольный вопрос выберите контрольный вопрос question  missing   missing   missing ,17,question
7933,1,  first name firstname  missing   last name lastname  last name lastname,17,first name last name last name
7934,1,  last name lastname  missing   missing passwordcontainer  missing ,17,last name
7935,1,  email address email  missing   missing missing  first name firstname,15,email address email first name
7936,225,  create password password  missing passwordcontainer  missing   missing ,18,create password password
7937,225,  confirm password confirmpassword  missing passwordcontainer  missing   missing ,18,confirm password
7938,209,  email address customer email  missing   missing ,15,email address customer email
7939,1,  first name wnlsa  missing   missing ,17,first name
7940,1,  last name gwmta  missing   missing ,17,last name
7941,1,  phone number ddvghah  missing   missing ,19,phone number
7942,1,  building name ufrqskh  missing   missing ,2,building name
7943,1,  city ohrqi  missing   missing ,0,city
7944,1,  pincode dnhypu  missing   missing ,5,missing
7945,1,  billing company company  missing   missing ,9,company company
7946,1,  billing gstin number gst number  missing   missing   missing ,17,number number
7947,1,  street address qxwbe  missing   missing ,2,street address
7948,209,  what s your email email address email  missing   missing ,15,what s your email email address email
7949,225,  enter your password password  missing   missing ,18,enter your password password
7950,1,  first name firstname  missing   missing   missing frmcreateaccount,17,first name
7951,1,  last name lastname  missing   missing   missing ,17,last name
7952,1,  missing createaccountemailaddress  missing   missing   missing frmcreateaccount,15,missing
7953,225,  enter password newpassword  missing   missing   missing ,18,enter password
7955,1,  first name jdlckih  missing   missing shipping new address form,17,first name shipping new address form
7956,1,  last name dvhfap  missing   missing shipping new address form,17,last name shipping new address form
7957,1,  company nceju  missing   missing shipping new address form,9,company shipping new address form
7958,1,  phone number nmlgn  missing   missing   missing shipping new address form,19,phone number shipping new address form
7959,1,  city gqnvch  missing   missing shipping new address form,0,city shipping new address form
7960,1,  zip postal code oovocm  missing   missing shipping new address form,5,zip postal code shipping new address form
7961,1,  gst number yxtdq  missing   missing shipping new address form,17,number shipping new address form
7962,1,  street address line evkx  missing   missing ,1,street address line
7963,209,  email address cafe dba dc fbbab  missing cc b b bde ea  missing nike unite joinform,15,email address cafe dc cc b b ea
7964,225,  password fec ef be dec fccef  missing bc cd be c ffffafd  missing nike unite joinform,18,password be dec bc cd be c
7965,1,  first name edd ad fe dda  missing bbe df e fca edefae  missing nike unite joinform,17,first name ad fe e
7966,1,  last name dadac a a bd dafdebbe  missing da f ce  missing nike unite joinform,17,last name a a da f ce
7967,1,  missing db c e fefcd  missing bafbd e e da  missing ec f de abc bbcdab  missing nike unite joinform,13,db c e e e da ec f de abc
7968,1,  first name givenname  missing   missing   missing ,17,first name
7969,1,  last name familyname  missing   missing   missing ,17,last name
7970,1,  street address address  missing   missing   missing ,2,street address address
7971,1,  apt suite building optional address  missing   missing   missing ,2,suite building optional address
7972,1,  town village address  missing   missing   missing ,2,town village address
7973,1,  town city city  missing   missing   missing ,0,town city city
7974,1,  postcode code  missing   missing   missing ,5,code
7975,1,  phone number phone  missing   missing   missing ,19,phone number phone
7976,3,  digit card number xxxx xxxxxx xxxxx please enter your digit card number ccnumber  missing   missing cm input block,12,card number please enter your card number cm input block
7978,1,  pick a username username  missing   missing ,15,pick a username username
7979,1,  add your email email  missing   missing ,15,add your email email
7980,1,  confirm email email  missing   missing ,15,confirm email email
7981,225,  choose a password password  missing   missing ,18,choose a password password
7982,225,  confirm password password  missing   missing ,18,confirm password password
7983,1,  first name contentplaceholder txtfirstname  missing bpnewaccountform  missing   check how strong your password is ,17,first name check how strong your password is
7984,1,  last name contentplaceholder txtlastname  missing bpnewaccountform  missing   missing ,17,last name
7985,1,  company institution contentplaceholder txtcompany  missing bpnewaccountform  missing   missing contentplaceholder btnsubmit,9,company institution
7986,1,  e mail address contentplaceholder txtemail  missing bpnewaccountform  missing   missing ,15,e mail address
7987,225,  choose a password contentplaceholder txtpassword  missing bpnewaccountform  first name contentplaceholder txtfirstname  missing ,18,choose a password first name
7988,225,  re enter password contentplaceholder txtpasswordconfirm  missing bpnewaccountform  missing   missing ,18,re enter password
7989,1,  genius nickname enter a nickname user login  missing new user  missing   password enter a password user password,17,enter a user login new user password enter a password user password
7990,1,  email enter your email address user email  missing new user  genius nickname enter a nickname user login  genius nickname enter a nickname user login,15,email enter your email address user email new user enter a user login enter a user login
7991,225,  password enter a password user password  missing new user  missing   missing user submit,18,password enter a password user password new user user submit
7992,1,  missing   missing   missing   missing ,15,missing
7993,209,  missing   missing   missing   missing ,15,missing
7994,225,  missing   missing   missing   missing ,18,missing
7995,209,  email useremail  missing   missing   missing ,15,email
7996,225,  password password  missing   missing   missing ,18,password password
7997,1,  first userfirstname  missing   missing   missing ,17,first
7998,1,  last userlastname  missing   missing   missing ,17,last
7999,209,  example ameba jp email  missing   missing user  missing ,15,example email user
8000,1,  アメーバ太郎 name  missing   missing   missing ,15,name
8001,225,  文字以上の英数字 password  missing   missing user  missing user,18,password user user
8002,2,  missing birthdayyear  missing   missing   missing ,13,missing
8003,2,  missing birthdaymonth  missing   missing user  missing birthdayyear,13,user
8004,2,  missing birthdayday  missing   missing   missing birthdayyear,13,missing
8005,1,  missing   missing   missing ,17,missing
8006,1,  missing   missing   missing ,17,missing
8007,1,  missing   missing   missing ,15,missing
8008,225,  missing   missing   missing ,18,missing
8009,225,  missing   missing   missing ,18,missing
8010,1,  missing   missing   missing ,15,missing
8013,1,  name soa property  missing   missing   missing ,17,name property
8014,1,  surname soa property  missing   missing   missing bx soa properties,17,property properties
8015,1,  e mail soa property  missing   missing   missing bx soa properties,15,e mail property properties
8016,1,  phone soa property  missing   missing   missing bx soa properties,19,phone property properties
8017,1,  street road soa property  missing   missing   missing ,2,street road property
8018,1,  house number house name soa property  missing   missing   missing bx soa properties,2,house number house name property properties
8019,1,  apartment soa property  missing   missing bx soa properties  missing bx soa properties,2,apartment property properties properties
8020,0,  order comments orderdescription  missing   missing bx soa properties,14,order comments properties
8021,1,  username userusername  missing userregisterform  missing   missing ,15,username
8022,1,  email useremail  missing userregisterform  missing   missing ,15,email
8023,1,  retype email useremail  missing userregisterform  missing   missing ,15,email
8024,225,  password userpass  missing userregisterform  confirm pass userpass  confirm pass userpass,18,password confirm pass confirm pass
8025,225,  confirm pass userpass  missing userregisterform  username userusername  missing ,18,confirm pass username
8026,1,  first name userfirstname  missing userregisterform  missing   missing ,17,first name
8027,1,  last name userlastname  missing userregisterform  missing   missing ,17,last name
8028,1,  phone number userphoneno  missing userregisterform  missing   missing ,19,phone number
8029,209,  missing email  missing signup form  missing password fieldset  missing ,15,email form password
8030,1,  missing username  missing signup form  missing   missing ,15,username form
8031,225,  pick a password pass  missing password fieldset  missing signup form  missing password feedback,18,pick a password pass password form password feedback
8032,225,  enter your password again re enter pass  missing password fieldset  missing   missing ,18,enter your password again re enter pass password
8033,209,  email address   missing   missing   missing ,15,email address
8034,1,  username   missing   missing   missing ,15,username
8035,225,  password   missing   missing   missing ,18,password
8036,1,  e posta adresi   missing   missing   missing ,15,e
8037,225,  şifre   missing   missing   missing ,18,missing
8044,1,  adınız name  missing   missing ,17,name
8045,1,  soyadınız surname  missing   missing ,17,missing
8046,1,  e posta adresiniz email  missing   missing ,15,e email
8047,1,  şifre şifreniz en az karakterden oluşmalı harf ve rakam içermelidir password  missing  javascript missing  javascript missing ,18,en az password javascript javascript
8048,1,  first name   missing   missing ,17,first name
8049,1,  last name   missing   missing ,17,last name
8050,209,  email   missing   missing ,15,email
8051,225,  password   missing   missing ,18,password
8052,225,  retype password   missing   missing ,18,password
8053,1,  first name user first name  missing   missing new user  missing ,17,first name user first name new user
8054,1,  last name user last name  missing   missing   missing new user,17,last name user last name new user
8055,1,  username user username  missing   missing   missing ,15,username user username
8056,209,  email user email  missing   missing new user  missing new user,15,email user email new user new user
8057,225,  password user password  missing   missing   missing ,18,password user password
8058,209,  enter your email address email address   missing   missing ,15,enter your email address email address
8059,1,  find a community on patch by entering a town name or zip code your town or zip code   missing   missing   missing ,5,find a community on patch by entering a town name or zip code your town or zip code
8060,209,  enter your email address email address   missing   missing ,15,enter your email address email address
8061,1,  enter your first and last name first and last name   missing   missing ,17,enter your first and last name first and last name
8062,225,  enter your password password   missing   missing   missing ,18,enter your password password
8064,3,  mobile phone number mobilephonenumber  missing mainform  missing   missing ,19,mobile phone number
8065,1,  full name full name name input  missing   missing   email address email address email input,17,full name full name name input email address email address email input
8066,1,  email address email address email input  missing   missing   missing ,15,email address email address email input
8067,225,  password password password input  missing   missing   missing ,18,password password password input
8068,1,  full name namefield  missing   missing createaccountform  missing ,17,full name
8069,209,  email address emailfield  missing   missing   missing createaccountform,15,email address
8070,225,  create password passwordfield  missing   missing   missing ,18,create password
8071,3,  mobile number mobilefield  missing   missing   missing ,19,mobile number
8072,225,  missing   missing   missing   missing ,18,missing
8073,0,  missing   missing   missing ,15,missing
8074,209,  email ex joaodasilva gmail com email input  missing email  missing   missing ,15,email ex com email input email
8075,225,  password password input  missing password  missing   missing ,18,password password input password
8076,3,  cpf ex cpf input  missing cpf are you a legal person meet americanas empresas missing  are you a legal person meet americanas empresas missing ,17,ex input are you a legal person meet are you a legal person meet
8077,1,  your name and surname ex alex hofmann name input  missing name  missing   missing ,17,your name and ex alex name input name
8078,3,  date of birth ex birthday input  missing birthday  missing   missing ,13,date of birth ex birthday input birthday
8079,3,  telephone ex phone input  missing phone  missing   missing ,19,telephone ex phone input phone
8080,1,  name name  missing   missing ,17,name name
8081,209,  email email  missing   missing ,15,email email
8082,209,  confirm email confirmemail  missing   missing ,15,confirm email
8083,225,  password password  missing   missing ,18,password password
8084,209,  work email address email  missing   missing signupform,15,work email address email
8085,225,  create a password password  missing   missing signupform,18,create a password password
8086,1,  first name firstname  missing   missing ,17,first name
8087,1,  last name lastname  missing   missing ,17,last name
8088,1,  username username  missing   missing ,15,username username
8089,1,  user name username  missing   missing ui tabpanel,15,user name username
8090,225,  password usrpwd  missing   missing ui tabpanel,18,password
8091,225,  confirm password cnfusrpwd  missing   missing ui tabpanel,18,confirm password
8093,3,  mobile phone number mobile phone number usernamereg phone  missing regform  missing reg error birthdate  missing reg error phone,19,mobile phone number mobile phone number phone reg error reg error phone
8094,3,  birthday day usernamereg day  missing regform  missing reg error birthdate  mobile phone number mobile phone number usernamereg phone,13,birthday day day reg error mobile phone number mobile phone number phone
8095,3,  birthday year usernamereg year  missing regform  missing   missing ,13,birthday year year
8097,225,  password password usernamereg password  missing   missing regform  missing reg error password,18,password password password reg error password
8098,1,  first name first name usernamereg firstname  missing usernamereg fullname  last name last name usernamereg lastname  missing reg error firstname,17,first name first name last name last name reg error
8099,1,  last name last name usernamereg lastname  missing usernamereg fullname  missing reg error lastname  missing ,17,last name last name reg error
8100,1,  email address email address usernamereg yid  missing   missing   missing yid field suggestion,15,email address email address field
8101,1,  username username  missing   missing   missing ,15,username username
8102,209,  email email  missing   missing ,15,email email
8103,225,  password password  missing   missing   missing ,18,password password
8104,209,  e mail emailinput  missing   missing   missing ,15,e mail
8105,1,  first name   missing   missing step,17,first name step
8106,1,  last name   missing   missing step,17,last name step
8107,1,  email address   missing   missing step,15,email address step
8108,1,  company website   missing   missing step  missing ,9,company website step
8109,1,  job title   missing   missing step,17,job title step
8110,225,  password   missing   missing step,18,password step
8111,209,  create account with email create account with email inlineuseremailsignup  missing   missing   missing ,15,create account with email create account with email
8112,225,  password password inlineuserpasswordsignup  missing   missing   missing ,18,password password
8113,1,  job title job title jobtitle jobtitleid  missing   missing ,17,job title job title
8114,1,  location location location locationid  missing   missing ,0,location location location
8115,1,  full name full name   missing   missing   missing ,17,full name full name
8116,209,  email address email address   missing   missing   missing ,15,email address email address
8117,225,  confirm password confirm password   missing   missing   missing ,18,confirm password confirm password
8118,225,  password password requires password   missing   missing   missing ,18,password password requires password
8119,209,  email signupemail  missing   missing   missing signupform,15,email
8120,1,  username signupusername  missing   missing signupform  missing signupform,15,username
8121,225,  password signuppassword  missing   missing   missing signupform,18,password
8122,1,  birthdate signupbirthdate  missing   missing signupform  missing signupform,13,missing
8123,1,  missing alias  missing   missing ,15,missing
8124,225,  a new password newpassword  missing   missing   missing ,18,a new password
8125,225,  repeat new password repassword  missing   missing   missing ,18,repeat new password
8126,3,  phone number phone  missing   missing   missing ,19,phone number phone
8128,1,  name auf der karte pp rhtv  missing   missing pp rhtv  missing ,17,name der pp pp
8129,3,  kartennummer pp rhtv  missing   missing   missing ,12,pp
8130,3,  card number cardnumber  missing   missing ,12,card number
8131,3,  month mm cardexpirymonth  missing   missing ,13,month mm
8132,3,  year jj cardexpiryyear  missing   missing ,13,year
8134,3,  contoh banknumber  missing   missing   missing ,12,missing
8135,3,  mm card month  missing   missing ,13,mm card month
8136,3,  yy card years  missing   missing ,13,card years
8139,1,  nome sulla carta pp wubfu  missing   missing   missing ,17,name paper pp
8140,3,  numero della carta pp wubfu  missing   missing pp wubfu  missing ,12,number paper pp pp
8142,1,  nom sur la carte pp lmxep  missing   missing pp lmxep  missing ,17,name on la map pp pp
8143,3,  numéro de carte pp lmxep  missing   missing   missing pp lmxep,12,de map pp pp
8146,1,  name on card pp bnpkhy  missing   missing   missing ,17,name on card pp
8147,3,  card number pp bnpkhy  missing   missing   missing pp bnpkhy,12,card number pp pp
8149,1,  nombre en la tarjeta pp krxf  missing   missing   missing ,17,number en la card pp
8150,3,  número de tarjeta pp krxf  missing   missing   missing ,12,number de card pp
8157,1,  credit or debit card expiration date mm yy   missing   missing   missing ,13,credit or card date mm
8160,1,  credit or debit card number card number   missing   missing   missing ,12,credit or card number card number
8162,1,  missing billingfirstname  missing form  missing   missing ,17,form
8163,1,  missing billinglastname  missing form  missing billingfirstname  missing ,17,form
8164,1,  missing billingcompanyname  missing form  missing   missing ,9,form
8166,1,  missing billingaddress  missing form  missing   missing ,2,form
8167,1,  missing billingpostalcode  missing form  missing reverso header  missing ,5,form header
8168,1,  missing billingcity  missing form  missing   missing ,0,form
8169,1,  cardholder name cardholder name cardholdername  missing   missing   missing expiration date,17,name name date
8176,3,  credit card number credit card number  missing   missing   missing ,12,credit card number credit card number
8183,3,  expiration date mm yy expiration  missing   missing bt expirationdate before e ff e baaabba  missing bt expirationdate after e ff e baaabba,13,date mm before e ff e after e ff e
8196,3,  np   missing   missing ,12,missing
8197,3,  mm rr   missing   missing ,13,mm
8199,3,  mm yy   missing   missing   missing ,13,mm
8201,3,    missing   missing   missing ,12,missing
8202,1,  missing cardno  missing   missing ,12,missing
8204,1,  name and surname subname  missing   missing ,17,name and
8205,3,  telefon numarası phone  missing   missing ,19,phone
8206,1,  kartın üzerindeki isim cardname  missing   missing ,17,missing
8207,3,  kart numarası cardno  missing   missing ,12,missing
8208,3,  ay cardmonth  missing   missing ,13,missing
8210,209,  customer email wpf form customer email  missing   missing   missing ,15,customer email form customer email
8211,1,  first name wpf form billing address first name  missing   missing   last name wpf form billing address last name,17,first name form address first name last name form address last name
8212,1,  last name wpf form billing address last name  missing   missing   missing ,17,last name form address last name
8213,1,  card holder wpf form card holder  missing   missing   missing ,17,card holder form card holder
8215,1,  card number wpf form card number  missing   missing   missing ,12,card number form card number
8216,1,  first name required subscribefirstname  missing   missing ,17,first name required
8217,1,  last name required subscribelastname  missing   missing ,17,last name required
8218,1,  company name subscribecompany  missing   missing ,9,company name
8219,1,  address required subscribeaddress  missing   missing ,2,address required
8220,1,  address subscribeaddress  missing   missing ,2,address
8221,1,  city required subscribecity  missing   missing ,0,city required
8222,1,  zip post code subscribezip  missing   missing ,5,zip post code
8224,3,  recurly hosted field input  missing   missing   missing ,12,hosted field input
8225,3,  mm mm mm recurly hosted field input  missing   missing   missing ,13,mm mm mm hosted field input
8226,3,  yy yy yy recurly hosted field input  missing   missing   missing ,13,hosted field input
8230,3,  cc number  missing   missing   missing ,12,cc number
8231,3,  mm yy cc exp  missing   missing   missing ,13,mm cc exp
8234,1,  company name first name companyname  missing   missing   missing ,9,company name first name
8235,1,  missing firstname  missing   missing   missing ,17,missing
8236,1,  last name lastname  missing   missing firstname  missing ,17,last name
8237,1,  card number input creditcardnumber  missing form element creditcardnumber  missing form group creditcardnumber,12,card number input form element form group
8238,1,  cardholder name input creditcardholdername  missing form element creditcardholdername  missing form group creditcardholdername,17,name input form element form group
8239,1,  address line input creditcardaddress  missing form element creditcardaddress  missing form group creditcardaddress,2,address line input form element form group
8240,1,  address line input creditcardaddress  missing form element creditcardaddress  missing form group creditcardaddress,2,address line input form element form group
8241,1,  city input creditcardcity  missing form element creditcardcity  missing form group creditcardcity,0,city input form element form group
8242,1,  postal zip code input creditcardpostalcode  missing form element creditcardpostalcode  missing form group creditcardpostalcode,5,postal zip code input form element form group
8246,3,  kart numarası card number  missing   missing   missing ,12,card number
8248,1,    missing   missing ,12,missing
8249,1,  kart sahibinin adı ve soyadı   missing   missing ,17,missing
8250,1,  ay yıl   missing   missing ,13,missing
8253,3,  card number cardnumber  missing carddetails  missing securitycodedivid  yy expiryyear,12,card number
8254,1,  cardholder s name cardholdername  missing carddetails  expiry date mm expirymonth  missing ,17,s name date mm
8255,3,  expiry date mm expirymonth  missing carddetails  missing   missing command,13,date mm command
8256,3,  yy expiryyear  missing carddetails  cardholder s name cardholdername  missing ,13,s name
8260,1,  nombre en la tarjeta pp kgeh  missing   missing   missing ,17,number en la card pp
8261,3,  número de tarjeta pp kgeh  missing   missing   missing ,12,number de card pp
8262,3,  mm yy expiry  missing   missing new card,13,mm new card
8263,3,  enter card number ccnum  missing   missing ,12,enter card number
8265,1,  card holder name   missing   missing ,17,card holder name
8267,1,  card holder name cardholdername  missing   missing   missing ,17,card holder name
8268,3,  credit debit card number please enter a valid card number cardnumber  missing   missing   missing ,12,credit card number please enter a valid card number
8269,3,  expiry date mm yy expirydate  missing   missing   missing ,13,date mm
8271,1,  missing   missing   missing ,17,missing
8272,3,  mm rr   missing   missing ,13,mm
8273,1,  missing   missing   missing ,12,missing
8275,1,  name name ap customer name  missing   missing   missing ,17,name name ap customer name
8276,3,  mobile number mobile number ap phone number  missing   missing ap register form  missing ,19,mobile number mobile number ap phone number ap register form
8277,209,  email optional email optional ap email  missing   missing   missing ,15,email optional email optional ap email
8278,225,  set password set password ap password  missing auth password container  missing   missing ap register form,18,set password set password ap password password ap register form
8279,209,  ap ra email or phone mobile number or email ap email login  missing   missing ap login form  missing ,19,ap ra email or phone mobile number or email ap email login ap login form
8280,225,  amazon password amazon password ap password  missing auth password container  missing   missing ,18,amazon password amazon password ap password password
8281,1,  full name address ui widgets enteraddressfullname  missing   missing   missing ,17,full name address
8282,3,  mobile number address ui widgets enteraddressphonenumber  missing   missing   missing ,19,mobile number address
8283,1,  pin code address ui widgets enteraddresspostalcode  missing   missing address ui widgets enteraddressformcontainer  missing address ui widgets enteraddressformcontainer,5,pin code address address address
8284,1,  flat house no building company apartment address ui widgets enteraddressline  missing   missing   missing address ui widgets enteraddressformcontainer,2,flat house no building company apartment address address
8285,1,  area colony street sector village address ui widgets enteraddressline  missing   missing address ui widgets enteraddressformcontainer  missing address ui widgets enteraddressformcontainer,2,area street sector village address address address
8286,1,  landmark e g near apollo hospital address ui widgets landmark  missing   missing   missing address ui widgets enteraddressformcontainer,2,e g near hospital address address
8287,1,  town city address ui widgets enteraddresscity  missing   missing address ui widgets enteraddressformcontainer  missing ,0,town city address address
8290,1,  name on card pp hplxqs  missing   missing   missing ,17,name on card pp
8291,3,  card number pp hplxqs  missing   missing pp hplxqs  missing ,12,card number pp pp
8292,2,  missing   missing   missing   missing ,19,missing
8293,209,  email id   missing   missing   missing ,15,email id
8300,225,  password   missing   missing container  missing container,18,password
8301,2,  missing   missing   missing   missing ,19,missing
8308,1,  full name required name  missing   missing   missing ,17,full name required name
8309,3,  phone number required phone  missing   missing   missing ,19,phone number required phone
8311,2,  missing pincode  missing   missing   missing ,5,missing
8312,1,  state required state  missing   missing   missing ,4,state required state
8313,0,  add nearby famous shop mall landmark landmark  missing   missing   missing ,2,add nearby famous shop mall
8314,1,  city required city  missing   missing   missing ,0,city required city
8315,0,  house no building name required addressline  missing   missing   missing ,2,house no building name required
8316,0,  road name area colony required addressline  missing   missing   missing ,2,road name area required
8317,1,  enter your phone number   missing   missing   missing ,19,enter your phone number
8319,1,  enter your email   missing   missing   missing ,15,enter your email
